url,local_path,http_status,content_type,bytes
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/12/APPROVED-LIST-2025-SKILLS-BURSURIES-FOR-ROAN-CONSTITUENCY.pdf,data\raw\pdfs\APPROVED-LIST-2025-SKILLS-BURSURIES-FOR-ROAN-CONSTITUENCY.pdf,200,cached,218248
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/12/Auditors-Report-2023.pdf,data\raw\pdfs\Auditors-Report-2023.pdf,200,cached,360593
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/01/2025-Luanshya-Constituency-Loans-.pdf,data\raw\pdfs\2025-Luanshya-Constituency-Loans-.pdf,200,cached,2626407
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/01/CamScanner-01-17-2025-10.37.pdf,data\raw\pdfs\CamScanner-01-17-2025-10.37.pdf,200,cached,1006659
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/01/Grants-2025-Luanshya-.pdf,data\raw\pdfs\Grants-2025-Luanshya-.pdf,200,cached,3707208
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/01/Roan-2025-Grants-.pdf,data\raw\pdfs\Roan-2025-Grants-.pdf,200,cached,3007395
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/03/NA_Z_Standard_Operating_Procedures_HARID__FINAL1-2-003_Finalized_CM.pdf,data\raw\pdfs\NA_Z_Standard_Operating_Procedures_HARID__FINAL1-2-003_Finalized_CM.pdf,200,cached,827607
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/03/SOP-CULTURAL-MATTERS.-PRINT-READY.pdf,data\raw\pdfs\SOP-CULTURAL-MATTERS.-PRINT-READY.pdf,200,cached,2745441
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/03/SOP_Community_Sport_Final_Signed.pdf,data\raw\pdfs\SOP_Community_Sport_Final_Signed.pdf,200,cached,935986
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/04/2025-LMC-Calendar-of-Meetings.pdf,data\raw\pdfs\2025-LMC-Calendar-of-Meetings.pdf,200,cached,364153
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/04/LUANSHYA-BUDGET-2025.pdf,data\raw\pdfs\LUANSHYA-BUDGET-2025.pdf,200,cached,853903
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/04/LUANSHYA-MUNICIPAL-COUNCIL-TODAY-002-ok.pdf,data\raw\pdfs\LUANSHYA-MUNICIPAL-COUNCIL-TODAY-002-ok.pdf,200,application/pdf,26709656
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/07/2026-CDF-Community-Projects.pdf,data\raw\pdfs\2026-CDF-Community-Projects.pdf,200,application/pdf,156801
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/07/2026-CDF-Empowerment-Grants.pdf,data\raw\pdfs\2026-CDF-Empowerment-Grants.pdf,200,application/pdf,155055
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/07/2026-CDF-Secondary-School-Bursary.pdf,data\raw\pdfs\2026-CDF-Secondary-School-Bursary.pdf,200,application/pdf,152728
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/07/2026-CDF-Skills-Development-Bursary.pdf,data\raw\pdfs\2026-CDF-Skills-Development-Bursary.pdf,200,application/pdf,158318
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/2024-APPROVED-COMMUNITY-PROJECTS.pdf,data\raw\pdfs\2024-APPROVED-COMMUNITY-PROJECTS.pdf,200,application/pdf,302604
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/2025-APPROVED-COMMUNITY-PROJECTS-1.pdf,data\raw\pdfs\2025-APPROVED-COMMUNITY-PROJECTS-1.pdf,200,application/pdf,496142
